DATE,DRCCLACBS
2004-01-01,4.21
2004-04-01,4.15
2004-07-01,4.07
2004-10-01,4.03
2005-01-01,3.70
2005-04-01,3.67
2005-07-01,3.90
2005-10-01,3.54
2006-01-01,3.86
2006-04-01,4.13
2006-07-01,4.12
2006-10-01,3.95
2007-01-01,3.98
2007-04-01,4.02
2007-07-01,4.41
2007-10-01,4.60
2008-01-01,4.77
2008-04-01,4.90
2008-07-01,4.80
2008-10-01,5.64
2009-01-01,6.51
2009-04-01,6.77
2009-07-01,6.49
2009-10-01,6.33
2010-01-01,5.78
2010-04-01,5.10
2010-07-01,4.58
2010-10-01,4.14
2011-01-01,3.82
2011-04-01,3.65
2011-07-01,3.45
2011-10-01,3.25
2012-01-01,3.06
2012-04-01,2.92
2012-07-01,2.82
2012-10-01,2.71
2013-01-01,2.64
2013-04-01,2.53
2013-07-01,2.44
2013-10-01,2.38
2014-01-01,2.32
2014-04-01,2.26
2014-07-01,2.20
2014-10-01,2.15
2015-01-01,2.11
2015-04-01,2.12
2015-07-01,2.15
2015-10-01,2.16
2016-01-01,2.14
2016-04-01,2.21
2016-07-01,2.30
2016-10-01,2.37
2017-01-01,2.39
2017-04-01,2.48
2017-07-01,2.55
2017-10-01,2.49
2018-01-01,2.48
2018-04-01,2.49
2018-07-01,2.53
2018-10-01,2.55
2019-01-01,2.51
2019-04-01,2.59
2019-07-01,2.61
2019-10-01,2.62
2020-01-01,2.66
2020-04-01,2.45
2020-07-01,2.00
2020-10-01,2.12
2021-01-01,1.86
2021-04-01,1.59
2021-07-01,1.54
2021-10-01,1.57
2022-01-01,1.67
2022-04-01,1.84
2022-07-01,2.06
2022-10-01,2.26
2023-01-01,2.45
2023-04-01,2.76
2023-07-01,2.96
2023-10-01,3.08
2024-01-01,3.16
