DATE,CORCCACBS
1/1/2004,5.4
4/1/2004,5.27
7/1/2004,4.49
10/1/2004,4.67
1/1/2005,4.66
4/1/2005,4.26
7/1/2005,4.35
10/1/2005,6.09
1/1/2006,3.17
4/1/2006,3.44
7/1/2006,3.84
10/1/2006,3.69
1/1/2007,4.01
4/1/2007,3.73
7/1/2007,3.91
10/1/2007,4.31
1/1/2008,4.77
4/1/2008,5.26
7/1/2008,5.77
10/1/2008,6.53
1/1/2009,7.69
4/1/2009,9.31
7/1/2009,10.22
10/1/2009,10.54
1/1/2010,10.51
4/1/2010,10.43
7/1/2010,8.78
10/1/2010,7.91
1/1/2011,6.93
4/1/2011,5.31
7/1/2011,5.85
10/1/2011,4.63
1/1/2012,4.24
4/1/2012,3.95
7/1/2012,3.93
10/1/2012,3.84
1/1/2013,3.7
4/1/2013,3.47
7/1/2013,3.37
10/1/2013,3.37
1/1/2014,3.24
4/1/2014,3.31
7/1/2014,3.07
10/1/2014,3.01
1/1/2015,2.94
4/1/2015,2.91
7/1/2015,2.95
10/1/2015,2.93
1/1/2016,3.04
4/1/2016,3.02
7/1/2016,3.06
10/1/2016,3.49
1/1/2017,3.45
4/1/2017,3.5
7/1/2017,3.59
10/1/2017,3.7
1/1/2018,3.65
4/1/2018,3.58
7/1/2018,3.69
10/1/2018,3.67
1/1/2019,3.68
4/1/2019,3.63
7/1/2019,3.74
10/1/2019,3.79
1/1/2020,3.72
4/1/2020,3.78
7/1/2020,3.6
10/1/2020,2.69
1/1/2021,2.81
4/1/2021,2.38
7/1/2021,1.81
10/1/2021,1.64
1/1/2022,1.73
4/1/2022,1.84
7/1/2022,2.11
10/1/2022,2.53
1/1/2023,2.86
4/1/2023,3.18
7/1/2023,3.79
10/1/2023,4.23
