DATE,TERMCBCCALLNS
1/1/2004,12.67
4/1/2004,12.69
7/1/2004,13.02
10/1/2004,12.51
1/1/2005,12.21
4/1/2005,12.77
7/1/2005,12.48
10/1/2005,12.58
1/1/2006,13.3
4/1/2006,13.16
7/1/2006,13.06
10/1/2006,13.31
1/1/2007,13.41
4/1/2007,13.46
7/1/2007,13.59
10/1/2007,12.75
1/1/2008,12.47
4/1/2008,11.88
7/1/2008,11.94
10/1/2008,12.03
1/1/2009,12.97
4/1/2009,13.32
7/1/2009,13.71
10/1/2009,13.6
1/1/2010,14.26
4/1/2010,13.84
7/1/2010,13.59
10/1/2010,13.44
1/1/2011,13.44
4/1/2011,12.89
7/1/2011,12.28
10/1/2011,12.36
1/1/2012,12.34
4/1/2012,12.06
7/1/2012,11.95
10/1/2012,11.88
1/1/2013,11.94
4/1/2013,11.95
7/1/2013,11.88
10/1/2013,11.85
1/1/2014,11.83
4/1/2014,11.83
7/1/2014,11.82
10/1/2014,11.99
1/1/2015,11.98
4/1/2015,12.04
7/1/2015,12.1
10/1/2015,12.22
1/1/2016,12.31
4/1/2016,12.16
7/1/2016,12.51
10/1/2016,12.41
1/1/2017,12.54
4/1/2017,12.77
7/1/2017,13.08
10/1/2017,13.16
1/1/2018,13.63
4/1/2018,14.14
7/1/2018,14.38
10/1/2018,14.73
1/1/2019,15.09
4/1/2019,15.13
7/1/2019,15.1
10/1/2019,14.87
1/1/2020,15.09
4/1/2020,14.52
7/1/2020,14.58
10/1/2020,14.65
1/1/2021,14.75
4/1/2021,14.61
7/1/2021,14.54
10/1/2021,14.51
1/1/2022,14.56
4/1/2022,15.13
7/1/2022,16.27
10/1/2022,19.07
1/1/2023,20.09
4/1/2023,20.84
7/1/2023,21.19
10/1/2023,21.47
