DATE,DRCCLACBS
1/1/2004,4.21
4/1/2004,4.15
7/1/2004,4.07
10/1/2004,4.03
1/1/2005,3.7
4/1/2005,3.67
7/1/2005,3.9
10/1/2005,3.54
1/1/2006,3.86
4/1/2006,4.13
7/1/2006,4.12
10/1/2006,3.95
1/1/2007,3.98
4/1/2007,4.02
7/1/2007,4.41
10/1/2007,4.6
1/1/2008,4.77
4/1/2008,4.9
7/1/2008,4.8
10/1/2008,5.64
1/1/2009,6.51
4/1/2009,6.77
7/1/2009,6.49
10/1/2009,6.33
1/1/2010,5.78
4/1/2010,5.1
7/1/2010,4.58
10/1/2010,4.14
1/1/2011,3.82
4/1/2011,3.65
7/1/2011,3.45
10/1/2011,3.25
1/1/2012,3.06
4/1/2012,2.92
7/1/2012,2.82
10/1/2012,2.71
1/1/2013,2.64
4/1/2013,2.53
7/1/2013,2.44
10/1/2013,2.38
1/1/2014,2.32
4/1/2014,2.26
7/1/2014,2.2
10/1/2014,2.15
1/1/2015,2.11
4/1/2015,2.12
7/1/2015,2.15
10/1/2015,2.16
1/1/2016,2.14
4/1/2016,2.21
7/1/2016,2.3
10/1/2016,2.37
1/1/2017,2.39
4/1/2017,2.48
7/1/2017,2.55
10/1/2017,2.49
1/1/2018,2.48
4/1/2018,2.49
7/1/2018,2.53
10/1/2018,2.55
1/1/2019,2.51
4/1/2019,2.59
7/1/2019,2.61
10/1/2019,2.62
1/1/2020,2.66
4/1/2020,2.45
7/1/2020,2
10/1/2020,2.12
1/1/2021,1.86
4/1/2021,1.59
7/1/2021,1.54
10/1/2021,1.57
1/1/2022,1.67
4/1/2022,1.84
7/1/2022,2.06
10/1/2022,2.26
1/1/2023,2.45
4/1/2023,2.76
7/1/2023,2.96
10/1/2023,3.08
