DATE,TERMCBPER24NS
1/1/2004,11.88
4/1/2004,11.8
7/1/2004,12.02
10/1/2004,11.84
1/1/2005,12.01
4/1/2005,12.05
7/1/2005,12.22
10/1/2005,11.95
1/1/2006,12.18
4/1/2006,12.58
7/1/2006,12.4
10/1/2006,12.49
1/1/2007,12.32
4/1/2007,12.53
7/1/2007,12.51
10/1/2007,12.16
1/1/2008,11.43
4/1/2008,11.14
7/1/2008,11.48
10/1/2008,11.44
1/1/2009,11.05
4/1/2009,11.25
7/1/2009,10.89
10/1/2009,11.2
1/1/2010,10.83
4/1/2010,11
7/1/2010,10.71
10/1/2010,10.94
1/1/2011,10.98
4/1/2011,11.37
7/1/2011,10.8
10/1/2011,10.36
1/1/2012,10.89
4/1/2012,10.94
7/1/2012,10.37
10/1/2012,10.64
1/1/2013,10.12
4/1/2013,10.34
7/1/2013,10.13
10/1/2013,10.22
1/1/2014,10.09
4/1/2014,9.62
7/1/2014,10.73
10/1/2014,10.47
1/1/2015,9.85
4/1/2015,9.69
7/1/2015,9.8
10/1/2015,9.66
1/1/2016,10.03
4/1/2016,9.65
7/1/2016,9.64
10/1/2016,9.45
1/1/2017,10.05
4/1/2017,10.13
7/1/2017,9.76
10/1/2017,10.57
1/1/2018,10.22
4/1/2018,10.31
7/1/2018,10.08
10/1/2018,10.65
1/1/2019,10.36
4/1/2019,10.63
7/1/2019,10.07
10/1/2019,10.21
1/1/2020,9.63
4/1/2020,9.5
7/1/2020,9.26
10/1/2020,9.65
1/1/2021,9.46
4/1/2021,9.58
7/1/2021,9.39
10/1/2021,9.09
1/1/2022,9.39
4/1/2022,8.73
7/1/2022,10.16
10/1/2022,11.21
1/1/2023,11.48
4/1/2023,11.48
7/1/2023,12.17
10/1/2023,12.35
