DATE,PSAVERT
1/1/2004,4.566666667
4/1/2004,5.033333333
7/1/2004,4.5
10/1/2004,4.5
1/1/2005,2.5
4/1/2005,2.233333333
7/1/2005,1.8
10/1/2005,2.466666667
1/1/2006,3.166666667
4/1/2006,2.966666667
7/1/2006,2.4
10/1/2006,2.566666667
1/1/2007,2.733333333
4/1/2007,2.833333333
7/1/2007,2.366666667
10/1/2007,2.166666667
1/1/2008,2.833333333
4/1/2008,4.6
7/1/2008,3.533333333
10/1/2008,5.566666667
1/1/2009,5.7
4/1/2009,6.8
7/1/2009,5.1
10/1/2009,5.333333333
1/1/2010,5.4
4/1/2010,6.2
7/1/2010,6.133333333
10/1/2010,5.966666667
1/1/2011,6.6
4/1/2011,6.366666667
7/1/2011,6.6
10/1/2011,6.633333333
1/1/2012,7.433333333
4/1/2012,7.9
7/1/2012,6.966666667
10/1/2012,9.133333333
1/1/2013,4.8
4/1/2013,5.266666667
7/1/2013,5.233333333
10/1/2013,4.566666667
1/1/2014,5.233333333
4/1/2014,5.533333333
7/1/2014,5.433333333
10/1/2014,5.666666667
1/1/2015,6.2
4/1/2015,5.8
7/1/2015,5.666666667
10/1/2015,5.733333333
1/1/2016,5.866666667
4/1/2016,5.233333333
7/1/2016,5.1
10/1/2016,5.233333333
1/1/2017,5.5
4/1/2017,6
7/1/2017,6
10/1/2017,5.533333333
1/1/2018,5.8
4/1/2018,6.1
7/1/2018,6.633333333
10/1/2018,7.2
1/1/2019,8.2
4/1/2019,7.366666667
7/1/2019,7
10/1/2019,6.933333333
1/1/2020,9.133333333
4/1/2020,24.36666667
7/1/2020,15.03333333
10/1/2020,12.3
1/1/2021,19.4
4/1/2021,10.3
7/1/2021,8.433333333
10/1/2021,6.3
1/1/2022,3.866666667
4/1/2022,2.966666667
7/1/2022,3.233333333
10/1/2022,3.233333333
1/1/2023,4.766666667
4/1/2023,5.1
7/1/2023,4.266666667
10/1/2023,3.7
