DATE,A191RL1Q225SBEA
1/1/2004,2.3
4/1/2004,3.1
7/1/2004,3.8
10/1/2004,4.1
1/1/2005,4.5
4/1/2005,2
7/1/2005,3.2
10/1/2005,2.2
1/1/2006,5.5
4/1/2006,1
7/1/2006,0.6
10/1/2006,3.5
1/1/2007,1.2
4/1/2007,2.5
7/1/2007,2.3
10/1/2007,2.5
1/1/2008,-1.7
4/1/2008,2.4
7/1/2008,-2.1
10/1/2008,-8.5
1/1/2009,-4.5
4/1/2009,-0.7
7/1/2009,1.4
10/1/2009,4.4
1/1/2010,1.9
4/1/2010,3.9
7/1/2010,3.1
10/1/2010,2.1
1/1/2011,-0.9
4/1/2011,2.7
7/1/2011,-0.1
10/1/2011,4.6
1/1/2012,3.4
4/1/2012,1.8
7/1/2012,0.6
10/1/2012,0.5
1/1/2013,4
4/1/2013,1.1
7/1/2013,3.5
10/1/2013,3.5
1/1/2014,-1.4
4/1/2014,5.3
7/1/2014,5
10/1/2014,2
1/1/2015,3.6
4/1/2015,2.5
7/1/2015,1.6
10/1/2015,0.7
1/1/2016,2.3
4/1/2016,1.3
7/1/2016,2.9
10/1/2016,2.2
1/1/2017,2
4/1/2017,2.3
7/1/2017,3.2
10/1/2017,4.6
1/1/2018,3.3
4/1/2018,2.1
7/1/2018,2.5
10/1/2018,0.6
1/1/2019,2.2
4/1/2019,3.4
7/1/2019,4.6
10/1/2019,2.6
1/1/2020,-5.3
4/1/2020,-28
7/1/2020,34.8
10/1/2020,4.2
1/1/2021,5.2
4/1/2021,6.2
7/1/2021,3.3
10/1/2021,7
1/1/2022,-2
4/1/2022,-0.6
7/1/2022,2.7
10/1/2022,2.6
1/1/2023,2.2
4/1/2023,2.1
7/1/2023,4.9
10/1/2023,3.4
