DATE,UNRATE
1/1/2004,5.7
4/1/2004,5.6
7/1/2004,5.433333333
10/1/2004,5.433333333
1/1/2005,5.3
4/1/2005,5.1
7/1/2005,4.966666667
10/1/2005,4.966666667
1/1/2006,4.733333333
4/1/2006,4.633333333
7/1/2006,4.633333333
10/1/2006,4.433333333
1/1/2007,4.5
4/1/2007,4.5
7/1/2007,4.666666667
10/1/2007,4.8
1/1/2008,5
4/1/2008,5.333333333
7/1/2008,6
10/1/2008,6.866666667
1/1/2009,8.266666667
4/1/2009,9.3
7/1/2009,9.633333333
10/1/2009,9.933333333
1/1/2010,9.833333333
4/1/2010,9.633333333
7/1/2010,9.466666667
10/1/2010,9.5
1/1/2011,9.033333333
4/1/2011,9.066666667
7/1/2011,9
10/1/2011,8.633333333
1/1/2012,8.266666667
4/1/2012,8.2
7/1/2012,8.033333333
10/1/2012,7.8
1/1/2013,7.733333333
4/1/2013,7.533333333
7/1/2013,7.233333333
10/1/2013,6.933333333
1/1/2014,6.666666667
4/1/2014,6.2
7/1/2014,6.066666667
10/1/2014,5.7
1/1/2015,5.533333333
4/1/2015,5.433333333
7/1/2015,5.1
10/1/2015,5.033333333
1/1/2016,4.9
4/1/2016,4.933333333
7/1/2016,4.9
10/1/2016,4.766666667
1/1/2017,4.566666667
4/1/2017,4.366666667
7/1/2017,4.333333333
10/1/2017,4.166666667
1/1/2018,4.033333333
4/1/2018,3.933333333
7/1/2018,3.766666667
10/1/2018,3.833333333
1/1/2019,3.866666667
4/1/2019,3.633333333
7/1/2019,3.6
10/1/2019,3.6
1/1/2020,3.833333333
4/1/2020,13
7/1/2020,8.8
10/1/2020,6.733333333
1/1/2021,6.233333333
4/1/2021,5.933333333
7/1/2021,5.066666667
10/1/2021,4.166666667
1/1/2022,3.8
4/1/2022,3.633333333
7/1/2022,3.533333333
10/1/2022,3.566666667
1/1/2023,3.5
4/1/2023,3.566666667
7/1/2023,3.7
10/1/2023,3.733333333
